Location                    Item                                                      Kind    Prod  Doc  Cog
src/acp.rs:527              terminal_auth_method                                      fn         7    1    0
src/acp.rs:537              initialize_response                                       fn        16    2    1
src/acp.rs:554              serve_stdio                                               fn         7    0    0
src/acp.rs:564              run_headless                                              fn        27    2    0
src/acp.rs:592              run_headless_prompt                                       fn        49    0    2
src/acp.rs:642              serve                                                     fn       183    0   20
src/auth.rs:4               SERVICE                                                   const      1    0    0
src/auth.rs:5               ACCOUNT                                                   const      1    0    0
src/auth.rs:7               entry                                                     fn         3    0    0
src/auth.rs:11              keyring_error                                             fn         3    0    0
src/auth.rs:15              api_key                                                   fn         7    0    2
src/auth.rs:23              api_key_with                                              fn        16    0    1
src/auth.rs:40              save_api_key                                              fn         3    0    0
src/auth.rs:44              delete_api_key                                            fn         7    0    1
src/cancellation.rs:17      PromptCancellation                                        struct     2    2    0
src/cancellation.rs:19      CancellationState                                         struct     4    0    0
src/cancellation.rs:24      impl PromptCancellation                                   impl      26    0    3
src/cancellation.rs:25        new                                                     fn         7    0    2
src/cancellation.rs:33        cancelled                                               fn         3    0    0
src/cancellation.rs:37        is_cancelled                                            fn         3    0    0
src/cancellation.rs:41        cancel                                                  fn        11    0    1
src/compaction.rs:20        SUMMARY_OUTPUT_TOKENS                                     const      1    0    0
src/compaction.rs:21        SUMMARY_ALLOWANCE_BYTES                                   const      1    0    0
src/compaction.rs:22        SUMMARY_LABEL                                             const      1    0    0
src/compaction.rs:23        TOOL_RESULT_EXCERPT_CHARS                                 const      1    0    0
src/compaction.rs:25        tokens                                                    fn         3    0    0
src/compaction.rs:30        Budget                                                    struct     5    5    0
src/compaction.rs:40        budget                                                    fn        11    0    0
src/compaction.rs:52        request_estimate                                          fn        14    0    0
src/compaction.rs:67        latest                                                    fn         6    0    2
src/compaction.rs:74        projection                                                fn        12    0    1
src/compaction.rs:91        repeated_invocation                                       fn         9    4    1
src/compaction.rs:101       has_candidate                                             fn         3    0    0
src/compaction.rs:105       context_error                                             fn         6    0    0
src/compaction.rs:112       projection_at                                             fn        19    0    1
src/compaction.rs:132       candidates                                                fn        16    0    7
src/compaction.rs:149       projected_estimate                                        fn        20    0    0
src/compaction.rs:172       input_fits                                                fn        23    2    2
src/compaction.rs:196       ranked_cuts                                               fn        44    1    4
src/compaction.rs:244       message_bytes                                             fn        11    2    0
src/compaction.rs:256       tool_result_excerpt                                       fn        11    0    1
