Location                    Item                                                      Kind    Prod  Doc  Cog
src/skills.rs            116     0   10   14
src/system_prompt.rs      27    46    7    2
src/text_file.rs          19     0    3    1
src/tools/patch.rs       385   270    4  104
src/tools/read.rs        146    84    2   42
src/tools/search.rs      204   213    6   60
src/tools/shell.rs       134   373    0   17
src/tools/workspace.rs   150     0    4   16
src/tools.rs             294   227   16   28
────────────────────────────────────────────
                        6255  6880  356
